Stream,Current Degree,10th%,12th%,UG%,Backlog, Work Experience ,Placement Status
Science,BSc,100,70,71,No,No,Placed
Arts,BA,100,86,72,No,No,Placed
Arts,BA,100,86,73,Yes,No,Not Placed
Arts,BA,100,89.4,77.33,No,No,Placed
Science,BSc,100,93,66.67,No,Yes,Placed
Arts,BA,100,94,75,No,No,Placed
Arts,BA,100,94,72,Yes,No,Not Placed
Commerce,BCom,99.9,97.16,80.67,No,Yes,Placed
Science,BSc,98.88,82,79.28,Yes,Yes,Not Placed
Professional,BSW,98,78,70,No,No,Placed
Professional,BVoc,98,78,70,No,No,Placed
Science,BSc,98,85.6,85.74,No,No,Placed
Science,BSc,98,85.6,85.74,No,No,Placed
Arts,BA,98,90,78,Yes,No,Not Placed
Science,BSc,98,90.6,79.7,No,No,Placed
Commerce,BCom,98,97,69,No,Yes,Placed
Science,BSc,98,100,73.3,No,No,Placed
Commerce,BCom,97.9,89.7,56.7,Yes,No,Not Placed
Science,BSc,97.76,83,85.89,No,No,Placed
Science,BSc,97.36,82.42,62.6,No,No,Placed
Commerce,BCom,97.28,90,70.77,No,Yes,Placed
Commerce,BBA,97.28,94.8,74.17,Yes,No,Not Placed
Arts,BA,97,67,65,Yes,No,Not Placed
Science,BSc,97,77,75,No,No,Placed
Arts,BA,97,82,60,No,No,Placed
Arts,BA,97,86,62,No,No,Placed
Arts,BA,97,86,62,No,No,Placed
Arts,BA,97,86,62,No,No,Placed
Arts,BA,97,86,62,No,No,Placed
Science,BSc,97,89,59,No,No,Not Placed
Commerce,BBA,97,94,74.17,No,No,Placed
Science,BSc,96.96,81.33,79.615,No,No,Placed
Science,BSc,96.2,80.1,80,No,No,Placed
Science,BSc,96.2,92,81.83,No,No,Placed
Science,BSc,96.2,92,81.83,No,No,Placed
Science,BSc,96.16,63.5,64.54,Yes,No,Not Placed
Arts,BA,96,68,55,Yes,Yes,Not Placed
Science,BSc,96,68,57,No,No,Not Placed
Commerce,BBA,96,69,57,No,No,Not Placed
Arts,BA,96,70.16,63.4,Yes,Yes,Not Placed
Arts,BA,96,72,63,No,Yes,Not Placed
